1_event_id,2_event_type,3_event_clock,4_event_ns,5_event_value,6_event_ifrecovery,7_recovery_clock,8_recovery_ns,9_event_duration,10_function_name,11_function_parameter,12_trigger_dscr,13_trigger_expression,14_trigger_flags,15_trigger_priority,16_trigger_type,17_trigger_recovery_mode,18_trigger_recovery_expression,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
788,0,1531124708,211073690,1,1,1531303687,900837392,178979,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
824,0,1531303687,900837392,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
971,0,1531324988,313414236,1,1,1531325047,497402998,59,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
972,0,1531325047,497402998,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1001,0,1531733288,530944266,1,1,1532099408,428270603,366120,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1021,0,1532099408,428270603,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1055,0,1532101208,219222080,1,1,1532357767,128886885,256559,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1069,0,1532357767,128886885,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1429,0,1539166568,177136618,1,1,1539166627,326621703,59,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1440,0,1539166627,326621703,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
4778,0,1539600187,854830059,1,1,1539612127,58864337,11940,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
4805,0,1539612127,58864337,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
6401,0,1539695708,230750949,1,1,1539696907,957539988,1199,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
6518,0,1539696907,957539988,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
9628,0,1539784928,449315691,1,1,1539785107,948877756,179,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
9657,0,1539785107,948877756,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16777}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
908,0,1531323427,884696965,1,1,1531323667,464300497,240,min,5m,High ICMP ping loss,{16778}>{$ICMP_LOSS_WARN} and {16778}<100,0,2,0,0,,60,ICMP loss,3,0,,0,,,,%
915,0,1531323667,464300497,0,0,0,0,0,min,5m,High ICMP ping loss,{16778}>{$ICMP_LOSS_WARN} and {16778}<100,0,2,0,0,,60,ICMP loss,3,0,,0,,,,%
