1_history_clock,2_history_ns,3_history_value,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
1539600068,510167156,100.0,60,ICMP loss,3,0,,0,,,,%
1539600128,182153716,100.0,60,ICMP loss,3,0,,0,,,,%
1539600187,854830059,100.0,60,ICMP loss,3,0,,0,,,,%
1539600248,526801764,100.0,60,ICMP loss,3,0,,0,,,,%
1539600308,196750425,100.0,60,ICMP loss,3,0,,0,,,,%
1539600367,876589567,100.0,60,ICMP loss,3,0,,0,,,,%
1539600427,550253430,100.0,60,ICMP loss,3,0,,0,,,,%
1539600488,222301397,100.0,60,ICMP loss,3,0,,0,,,,%
1539600547,895512979,100.0,60,ICMP loss,3,0,,0,,,,%
1539600607,567169982,100.0,60,ICMP loss,3,0,,0,,,,%
1539600668,240111118,100.0,60,ICMP loss,3,0,,0,,,,%
1539600727,911974848,100.0,60,ICMP loss,3,0,,0,,,,%
1539600787,584613514,100.0,60,ICMP loss,3,0,,0,,,,%
1539600848,257507453,100.0,60,ICMP loss,3,0,,0,,,,%
1539600907,928957792,100.0,60,ICMP loss,3,0,,0,,,,%
1539600967,598835901,100.0,60,ICMP loss,3,0,,0,,,,%
1539601028,269450105,100.0,60,ICMP loss,3,0,,0,,,,%
1539601087,940592640,100.0,60,ICMP loss,3,0,,0,,,,%
1539601147,612044272,100.0,60,ICMP loss,3,0,,0,,,,%
1539601208,284307862,100.0,60,ICMP loss,3,0,,0,,,,%
1539601267,957148692,100.0,60,ICMP loss,3,0,,0,,,,%
1539601327,631421189,100.0,60,ICMP loss,3,0,,0,,,,%
1539601388,304798978,100.0,60,ICMP loss,3,0,,0,,,,%
1539601447,977380064,100.0,60,ICMP loss,3,0,,0,,,,%
1539601507,649645614,100.0,60,ICMP loss,3,0,,0,,,,%
1539601568,321769393,100.0,60,ICMP loss,3,0,,0,,,,%
1539601627,993638917,100.0,60,ICMP loss,3,0,,0,,,,%
1539601687,666770152,100.0,60,ICMP loss,3,0,,0,,,,%
1539601748,338922224,100.0,60,ICMP loss,3,0,,0,,,,%
1539601808,10551512,100.0,60,ICMP loss,3,0,,0,,,,%
1539601867,682964698,100.0,60,ICMP loss,3,0,,0,,,,%
1539601928,354427406,100.0,60,ICMP loss,3,0,,0,,,,%
1539601988,30191058,100.0,60,ICMP loss,3,0,,0,,,,%
1539602047,702806910,100.0,60,ICMP loss,3,0,,0,,,,%
1539602108,375000681,100.0,60,ICMP loss,3,0,,0,,,,%
1539602168,47544093,100.0,60,ICMP loss,3,0,,0,,,,%
1539602227,720512217,100.0,60,ICMP loss,3,0,,0,,,,%
1539602288,393379425,100.0,60,ICMP loss,3,0,,0,,,,%
1539602348,64481356,100.0,60,ICMP loss,3,0,,0,,,,%
1539602407,737279085,100.0,60,ICMP loss,3,0,,0,,,,%
1539602468,408985328,100.0,60,ICMP loss,3,0,,0,,,,%
1539602528,84839999,100.0,60,ICMP loss,3,0,,0,,,,%
1539602587,759006787,100.0,60,ICMP loss,3,0,,0,,,,%
1539602648,430607464,100.0,60,ICMP loss,3,0,,0,,,,%
1539602708,103653788,100.0,60,ICMP loss,3,0,,0,,,,%
1539602767,775242934,100.0,60,ICMP loss,3,0,,0,,,,%
1539602828,451159706,100.0,60,ICMP loss,3,0,,0,,,,%
1539602888,127179885,100.0,60,ICMP loss,3,0,,0,,,,%
1539602947,800121124,100.0,60,ICMP loss,3,0,,0,,,,%
1539603008,471884015,100.0,60,ICMP loss,3,0,,0,,,,%
1539603068,144217787,100.0,60,ICMP loss,3,0,,0,,,,%
1539603127,816462038,100.0,60,ICMP loss,3,0,,0,,,,%
1539603188,491469495,100.0,60,ICMP loss,3,0,,0,,,,%
1539603248,163244844,100.0,60,ICMP loss,3,0,,0,,,,%
1539603307,836659002,100.0,60,ICMP loss,3,0,,0,,,,%
1539603368,508171819,100.0,60,ICMP loss,3,0,,0,,,,%
1539603428,179838552,100.0,60,ICMP loss,3,0,,0,,,,%
1539603487,851641722,100.0,60,ICMP loss,3,0,,0,,,,%
1539603548,523651476,100.0,60,ICMP loss,3,0,,0,,,,%
1539603608,196690149,100.0,60,ICMP loss,3,0,,0,,,,%
1539603667,868571152,100.0,60,ICMP loss,3,0,,0,,,,%
1539603727,540301373,100.0,60,ICMP loss,3,0,,0,,,,%
1539603788,211843825,100.0,60,ICMP loss,3,0,,0,,,,%
1539603847,883418635,100.0,60,ICMP loss,3,0,,0,,,,%
1539603907,563337828,100.0,60,ICMP loss,3,0,,0,,,,%
1539603968,235260556,100.0,60,ICMP loss,3,0,,0,,,,%
1539604027,907782558,100.0,60,ICMP loss,3,0,,0,,,,%
1539604087,583163287,100.0,60,ICMP loss,3,0,,0,,,,%
1539604148,257054685,100.0,60,ICMP loss,3,0,,0,,,,%
1539604207,929174595,100.0,60,ICMP loss,3,0,,0,,,,%
1539604267,601385657,100.0,60,ICMP loss,3,0,,0,,,,%
1539604328,274087099,100.0,60,ICMP loss,3,0,,0,,,,%
1539604387,945849308,100.0,60,ICMP loss,3,0,,0,,,,%
1539604447,618328004,100.0,60,ICMP loss,3,0,,0,,,,%
1539604508,290061201,100.0,60,ICMP loss,3,0,,0,,,,%
1539604567,963257620,100.0,60,ICMP loss,3,0,,0,,,,%
1539604627,635976049,100.0,60,ICMP loss,3,0,,0,,,,%
1539604688,307999700,100.0,60,ICMP loss,3,0,,0,,,,%
1539604747,983145499,100.0,60,ICMP loss,3,0,,0,,,,%
1539604807,657924242,100.0,60,ICMP loss,3,0,,0,,,,%
1539604868,331617382,100.0,60,ICMP loss,3,0,,0,,,,%
1539604928,5129560,100.0,60,ICMP loss,3,0,,0,,,,%
1539604987,677022351,100.0,60,ICMP loss,3,0,,0,,,,%
1539605048,348959134,100.0,60,ICMP loss,3,0,,0,,,,%
1539605108,22226913,100.0,60,ICMP loss,3,0,,0,,,,%
1539605167,696615288,100.0,60,ICMP loss,3,0,,0,,,,%
1539605228,368056550,100.0,60,ICMP loss,3,0,,0,,,,%
1539605288,39784193,100.0,60,ICMP loss,3,0,,0,,,,%
1539605347,714631376,100.0,60,ICMP loss,3,0,,0,,,,%
1539605408,386526165,100.0,60,ICMP loss,3,0,,0,,,,%
1539605468,60175978,100.0,60,ICMP loss,3,0,,0,,,,%
1539605527,730525980,100.0,60,ICMP loss,3,0,,0,,,,%
1539605588,401960436,100.0,60,ICMP loss,3,0,,0,,,,%
1539605648,74167272,100.0,60,ICMP loss,3,0,,0,,,,%
1539605707,748071331,100.0,60,ICMP loss,3,0,,0,,,,%
1539605768,420280816,100.0,60,ICMP loss,3,0,,0,,,,%
1539605828,94117690,100.0,60,ICMP loss,3,0,,0,,,,%
1539605887,763242455,100.0,60,ICMP loss,3,0,,0,,,,%
1539605948,436404494,100.0,60,ICMP loss,3,0,,0,,,,%
1539606008,108896424,100.0,60,ICMP loss,3,0,,0,,,,%
1539606067,780230361,100.0,60,ICMP loss,3,0,,0,,,,%
1539606128,453453924,100.0,60,ICMP loss,3,0,,0,,,,%
1539606188,126506019,100.0,60,ICMP loss,3,0,,0,,,,%
1539606247,799574681,100.0,60,ICMP loss,3,0,,0,,,,%
1539606308,470511248,100.0,60,ICMP loss,3,0,,0,,,,%
1539606368,150444338,100.0,60,ICMP loss,3,0,,0,,,,%
1539606427,821976633,100.0,60,ICMP loss,3,0,,0,,,,%
1539606488,494804816,100.0,60,ICMP loss,3,0,,0,,,,%
1539606548,169176593,100.0,60,ICMP loss,3,0,,0,,,,%
1539606607,842588684,100.0,60,ICMP loss,3,0,,0,,,,%
1539606668,514843613,100.0,60,ICMP loss,3,0,,0,,,,%
1539606728,186550038,100.0,60,ICMP loss,3,0,,0,,,,%
1539606787,859571307,100.0,60,ICMP loss,3,0,,0,,,,%
1539606848,555650627,100.0,60,ICMP loss,3,0,,0,,,,%
1539606908,202531094,100.0,60,ICMP loss,3,0,,0,,,,%
1539606967,873528231,100.0,60,ICMP loss,3,0,,0,,,,%
1539607027,547481273,100.0,60,ICMP loss,3,0,,0,,,,%
1539607088,220887484,100.0,60,ICMP loss,3,0,,0,,,,%
1539607147,893375666,100.0,60,ICMP loss,3,0,,0,,,,%
1539607207,566369857,100.0,60,ICMP loss,3,0,,0,,,,%
1539607268,237747128,100.0,60,ICMP loss,3,0,,0,,,,%
1539607327,915029814,100.0,60,ICMP loss,3,0,,0,,,,%
1539607387,564817213,100.0,60,ICMP loss,3,0,,0,,,,%
1539607448,236264496,100.0,60,ICMP loss,3,0,,0,,,,%
1539607507,909574938,100.0,60,ICMP loss,3,0,,0,,,,%
1539607567,582253725,100.0,60,ICMP loss,3,0,,0,,,,%
1539607628,256525104,100.0,60,ICMP loss,3,0,,0,,,,%
1539611950,63678588,100.0,60,ICMP loss,3,0,,0,,,,%
1539612008,230148765,100.0,60,ICMP loss,3,0,,0,,,,%
1539612067,905518692,100.0,60,ICMP loss,3,0,,0,,,,%
1539612127,58864337,0.0,60,ICMP loss,3,0,,0,,,,%
1539612187,191534241,0.0,60,ICMP loss,3,0,,0,,,,%
1539612247,311384136,0.0,60,ICMP loss,3,0,,0,,,,%
1539612307,425689807,0.0,60,ICMP loss,3,0,,0,,,,%
1539612367,561889144,0.0,60,ICMP loss,3,0,,0,,,,%
1539612427,696602198,0.0,60,ICMP loss,3,0,,0,,,,%
1539612487,828254690,0.0,60,ICMP loss,3,0,,0,,,,%
1539612547,984120932,0.0,60,ICMP loss,3,0,,0,,,,%
1539612607,610453735,0.0,60,ICMP loss,3,0,,0,,,,%
1539612667,332324063,0.0,60,ICMP loss,3,0,,0,,,,%
1539612727,532312162,0.0,60,ICMP loss,3,0,,0,,,,%
1539612787,658394820,0.0,60,ICMP loss,3,0,,0,,,,%
1539612847,769595597,0.0,60,ICMP loss,3,0,,0,,,,%
1539612907,136027686,0.0,60,ICMP loss,3,0,,0,,,,%
1539612967,838087891,0.0,60,ICMP loss,3,0,,0,,,,%
1539613027,939073516,0.0,60,ICMP loss,3,0,,0,,,,%
1539613087,126818356,0.0,60,ICMP loss,3,0,,0,,,,%
1539613147,262001169,0.0,60,ICMP loss,3,0,,0,,,,%
1539613207,402632321,0.0,60,ICMP loss,3,0,,0,,,,%
1539613267,506775017,0.0,60,ICMP loss,3,0,,0,,,,%
1539613327,644232832,0.0,60,ICMP loss,3,0,,0,,,,%
1539613387,843376338,0.0,60,ICMP loss,3,0,,0,,,,%
1539613447,967216737,0.0,60,ICMP loss,3,0,,0,,,,%
1539613507,92658592,0.0,60,ICMP loss,3,0,,0,,,,%
1539613567,997360599,0.0,60,ICMP loss,3,0,,0,,,,%
1539613627,112373346,0.0,60,ICMP loss,3,0,,0,,,,%
1539613687,488455678,0.0,60,ICMP loss,3,0,,0,,,,%
1539613747,364445267,0.0,60,ICMP loss,3,0,,0,,,,%
1539613807,34921112,0.0,60,ICMP loss,3,0,,0,,,,%
1539613867,327528120,0.0,60,ICMP loss,3,0,,0,,,,%
1539613927,837741122,0.0,60,ICMP loss,3,0,,0,,,,%
1539613987,550774197,0.0,60,ICMP loss,3,0,,0,,,,%
1539614047,657697756,0.0,60,ICMP loss,3,0,,0,,,,%
1539614107,818427822,0.0,60,ICMP loss,3,0,,0,,,,%
1539614167,722149331,0.0,60,ICMP loss,3,0,,0,,,,%
1539614227,325057599,0.0,60,ICMP loss,3,0,,0,,,,%
1539614287,414877836,0.0,60,ICMP loss,3,0,,0,,,,%
1539614347,274946276,0.0,60,ICMP loss,3,0,,0,,,,%
1539614407,957097116,0.0,60,ICMP loss,3,0,,0,,,,%
1539614467,647317808,0.0,60,ICMP loss,3,0,,0,,,,%
1539614527,631828868,0.0,60,ICMP loss,3,0,,0,,,,%
1539614587,215628859,0.0,60,ICMP loss,3,0,,0,,,,%
1539614647,24988154,0.0,60,ICMP loss,3,0,,0,,,,%
1539614707,511345577,0.0,60,ICMP loss,3,0,,0,,,,%
1539614767,280331499,0.0,60,ICMP loss,3,0,,0,,,,%
1539614827,604863061,0.0,60,ICMP loss,3,0,,0,,,,%
1539614887,979235422,0.0,60,ICMP loss,3,0,,0,,,,%
1539614947,350908136,0.0,60,ICMP loss,3,0,,0,,,,%
1539615007,692683411,0.0,60,ICMP loss,3,0,,0,,,,%
1539615067,21898909,0.0,60,ICMP loss,3,0,,0,,,,%
1539615127,425709139,0.0,60,ICMP loss,3,0,,0,,,,%
1539615187,998684873,0.0,60,ICMP loss,3,0,,0,,,,%
1539615247,115204158,0.0,60,ICMP loss,3,0,,0,,,,%
1539615307,508368771,0.0,60,ICMP loss,3,0,,0,,,,%
1539615367,740463272,0.0,60,ICMP loss,3,0,,0,,,,%
1539615427,870617673,0.0,60,ICMP loss,3,0,,0,,,,%
1539615487,966637231,0.0,60,ICMP loss,3,0,,0,,,,%
1539615547,577944493,0.0,60,ICMP loss,3,0,,0,,,,%
1539615607,707411216,0.0,60,ICMP loss,3,0,,0,,,,%
1539615667,800870818,0.0,60,ICMP loss,3,0,,0,,,,%
1539615727,898229749,0.0,60,ICMP loss,3,0,,0,,,,%
1539615787,437512146,0.0,60,ICMP loss,3,0,,0,,,,%
1539615847,578855173,0.0,60,ICMP loss,3,0,,0,,,,%
1539615907,717022225,0.0,60,ICMP loss,3,0,,0,,,,%
1539615967,929379110,0.0,60,ICMP loss,3,0,,0,,,,%
1539616027,24022655,0.0,60,ICMP loss,3,0,,0,,,,%
1539616087,32306184,0.0,60,ICMP loss,3,0,,0,,,,%
1539616147,137898172,0.0,60,ICMP loss,3,0,,0,,,,%
1539616207,406748777,0.0,60,ICMP loss,3,0,,0,,,,%
1539616267,801358206,0.0,60,ICMP loss,3,0,,0,,,,%
1539616327,72606027,0.0,60,ICMP loss,3,0,,0,,,,%
1539616387,22287189,0.0,60,ICMP loss,3,0,,0,,,,%
1539616447,259610177,0.0,60,ICMP loss,3,0,,0,,,,%
1539616507,606964830,0.0,60,ICMP loss,3,0,,0,,,,%
1539616567,774810610,0.0,60,ICMP loss,3,0,,0,,,,%
1539616627,907031037,0.0,60,ICMP loss,3,0,,0,,,,%
1539616687,42434967,0.0,60,ICMP loss,3,0,,0,,,,%
1539616747,160587413,0.0,60,ICMP loss,3,0,,0,,,,%
1539616807,257431996,0.0,60,ICMP loss,3,0,,0,,,,%
1539616867,353659511,0.0,60,ICMP loss,3,0,,0,,,,%
