1_event_id,2_event_type,3_event_clock,4_event_ns,5_event_value,6_event_ifrecovery,7_recovery_clock,8_recovery_ns,9_event_duration,10_function_name,11_function_parameter,12_trigger_dscr,13_trigger_expression,14_trigger_flags,15_trigger_priority,16_trigger_type,17_trigger_recovery_mode,18_trigger_recovery_expression,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
787,0,1531124705,657413491,1,1,1531303685,891633922,178980,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
821,0,1531303685,891633922,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
872,0,1531304465,785912162,1,1,1531304525,482216849,60,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
873,0,1531304525,482216849,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1003,0,1531733345,673071823,1,1,1532099405,872662309,366060,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1014,0,1532099405,872662309,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1060,0,1532101265,382653912,1,1,1532357765,104723499,256500,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1065,0,1532357765,104723499,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1426,0,1539166565,646457065,1,1,1539166625,320234465,60,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1436,0,1539166625,320234465,0,0,0,0,0,max,#3,Unavailable by ICMP ping,{16759}=0,0,4,0,0,,60,ICMP ping,3,3,,0,,,,
1015,0,1532099405,872662309,1,1,1532099465,653382033,60,min,5m,High ICMP ping loss,{16760}>{$ICMP_LOSS_WARN} and {16760}<100,0,2,0,0,,60,ICMP loss,3,0,,0,,,,%
1031,0,1532099465,653382033,0,0,0,0,0,min,5m,High ICMP ping loss,{16760}>{$ICMP_LOSS_WARN} and {16760}<100,0,2,0,0,,60,ICMP loss,3,0,,0,,,,%
407,0,1530891245,818251338,1,1,1530891785,230056483,540,last,,{HOST.NAME} has been restarted,{16762}<10m,0,2,0,0,,30,Device uptime,4,3,MIB: SNMPv2-MIB  The time (in hundredths of a second) since the network management portion of the system was last re-initialized.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.3.0,uptime
423,0,1530891785,230056483,0,0,0,0,0,last,,{HOST.NAME} has been restarted,{16762}<10m,0,2,0,0,,30,Device uptime,4,3,MIB: SNMPv2-MIB  The time (in hundredths of a second) since the network management portion of the system was last re-initialized.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.3.0,uptime
