1_history_clock,2_history_ns,3_history_value,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
1539600065,960152663,100.0,60,ICMP loss,3,0,,0,,,,%
1539600125,651636971,100.0,60,ICMP loss,3,0,,0,,,,%
1539600185,324979177,100.0,60,ICMP loss,3,0,,0,,,,%
1539600245,996311957,100.0,60,ICMP loss,3,0,,0,,,,%
1539600305,666381961,100.0,60,ICMP loss,3,0,,0,,,,%
1539600365,346111596,100.0,60,ICMP loss,3,0,,0,,,,%
1539600425,19748621,100.0,60,ICMP loss,3,0,,0,,,,%
1539600485,693220841,100.0,60,ICMP loss,3,0,,0,,,,%
1539600545,364993806,100.0,60,ICMP loss,3,0,,0,,,,%
1539600605,36611820,100.0,60,ICMP loss,3,0,,0,,,,%
1539600665,709497563,100.0,60,ICMP loss,3,0,,0,,,,%
1539600725,381703130,100.0,60,ICMP loss,3,0,,0,,,,%
1539600785,54158377,100.0,60,ICMP loss,3,0,,0,,,,%
1539600845,727205318,100.0,60,ICMP loss,3,0,,0,,,,%
1539600905,398983168,100.0,60,ICMP loss,3,0,,0,,,,%
1539600965,69371302,100.0,60,ICMP loss,3,0,,0,,,,%
1539601025,738754951,100.0,60,ICMP loss,3,0,,0,,,,%
1539601085,410217254,100.0,60,ICMP loss,3,0,,0,,,,%
1539601145,81443821,100.0,60,ICMP loss,3,0,,0,,,,%
1539601205,753687999,100.0,60,ICMP loss,3,0,,0,,,,%
1539601265,426630318,100.0,60,ICMP loss,3,0,,0,,,,%
1539601325,100947353,100.0,60,ICMP loss,3,0,,0,,,,%
1539601385,774402155,100.0,60,ICMP loss,3,0,,0,,,,%
1539601445,446503123,100.0,60,ICMP loss,3,0,,0,,,,%
1539601505,119001302,100.0,60,ICMP loss,3,0,,0,,,,%
1539601565,791169360,100.0,60,ICMP loss,3,0,,0,,,,%
1539601625,463561438,100.0,60,ICMP loss,3,0,,0,,,,%
1539601685,136432811,100.0,60,ICMP loss,3,0,,0,,,,%
1539601745,808515518,100.0,60,ICMP loss,3,0,,0,,,,%
1539601805,480675007,100.0,60,ICMP loss,3,0,,0,,,,%
1539601865,152106883,100.0,60,ICMP loss,3,0,,0,,,,%
1539601925,823733966,100.0,60,ICMP loss,3,0,,0,,,,%
1539601985,499428910,100.0,60,ICMP loss,3,0,,0,,,,%
1539602045,172239922,100.0,60,ICMP loss,3,0,,0,,,,%
1539602105,844628240,100.0,60,ICMP loss,3,0,,0,,,,%
1539602165,517168723,100.0,60,ICMP loss,3,0,,0,,,,%
1539602225,189948388,100.0,60,ICMP loss,3,0,,0,,,,%
1539602285,863136122,100.0,60,ICMP loss,3,0,,0,,,,%
1539602345,534742849,100.0,60,ICMP loss,3,0,,0,,,,%
1539602405,206704249,100.0,60,ICMP loss,3,0,,0,,,,%
1539602465,878333414,100.0,60,ICMP loss,3,0,,0,,,,%
1539602525,554192885,100.0,60,ICMP loss,3,0,,0,,,,%
1539602585,228365840,100.0,60,ICMP loss,3,0,,0,,,,%
1539602645,900360646,100.0,60,ICMP loss,3,0,,0,,,,%
1539602705,572885926,100.0,60,ICMP loss,3,0,,0,,,,%
1539602765,245839139,100.0,60,ICMP loss,3,0,,0,,,,%
1539602825,920691427,100.0,60,ICMP loss,3,0,,0,,,,%
1539602885,596676700,100.0,60,ICMP loss,3,0,,0,,,,%
1539602945,269770600,100.0,60,ICMP loss,3,0,,0,,,,%
1539603005,941553155,100.0,60,ICMP loss,3,0,,0,,,,%
1539603065,614630974,100.0,60,ICMP loss,3,0,,0,,,,%
1539603125,285910707,100.0,60,ICMP loss,3,0,,0,,,,%
1539603185,960912523,100.0,60,ICMP loss,3,0,,0,,,,%
1539603245,632601133,100.0,60,ICMP loss,3,0,,0,,,,%
1539603305,304034877,100.0,60,ICMP loss,3,0,,0,,,,%
1539603365,977530893,100.0,60,ICMP loss,3,0,,0,,,,%
1539603425,649236343,100.0,60,ICMP loss,3,0,,0,,,,%
1539603485,321335008,100.0,60,ICMP loss,3,0,,0,,,,%
1539603545,994550431,100.0,60,ICMP loss,3,0,,0,,,,%
1539603605,665994571,100.0,60,ICMP loss,3,0,,0,,,,%
1539603665,338096580,100.0,60,ICMP loss,3,0,,0,,,,%
1539603725,9682563,100.0,60,ICMP loss,3,0,,0,,,,%
1539603785,681556575,100.0,60,ICMP loss,3,0,,0,,,,%
1539603845,353232185,100.0,60,ICMP loss,3,0,,0,,,,%
1539603905,32639387,100.0,60,ICMP loss,3,0,,0,,,,%
1539603965,704681213,100.0,60,ICMP loss,3,0,,0,,,,%
1539604025,377134899,100.0,60,ICMP loss,3,0,,0,,,,%
1539604085,52583121,100.0,60,ICMP loss,3,0,,0,,,,%
1539604145,726212283,100.0,60,ICMP loss,3,0,,0,,,,%
1539604205,398993202,100.0,60,ICMP loss,3,0,,0,,,,%
1539604265,70864056,100.0,60,ICMP loss,3,0,,0,,,,%
1539604325,743485430,100.0,60,ICMP loss,3,0,,0,,,,%
1539604385,415223098,100.0,60,ICMP loss,3,0,,0,,,,%
1539604445,87764223,100.0,60,ICMP loss,3,0,,0,,,,%
1539604505,759621474,100.0,60,ICMP loss,3,0,,0,,,,%
1539604565,432416935,100.0,60,ICMP loss,3,0,,0,,,,%
1539604625,105385127,100.0,60,ICMP loss,3,0,,0,,,,%
1539604685,777241332,100.0,60,ICMP loss,3,0,,0,,,,%
1539604745,452464270,100.0,60,ICMP loss,3,0,,0,,,,%
1539604805,127133402,100.0,60,ICMP loss,3,0,,0,,,,%
