1_history_clock,2_history_ns,3_history_value,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
1539169205,801948281,,3600,Device contact details,4,1,MIB: SNMPv2-MIB  The textual identification of the contact person for this managed node together with information on how to contact this person.  If no contact information is known the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.4.0,
1539172805,965222997,,3600,Device contact details,4,1,MIB: SNMPv2-MIB  The textual identification of the contact person for this managed node together with information on how to contact this person.  If no contact information is known the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.4.0,
1539176405,633215058,,3600,Device contact details,4,1,MIB: SNMPv2-MIB  The textual identification of the contact person for this managed node together with information on how to contact this person.  If no contact information is known the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.4.0,
1539180005,124460306,,3600,Device contact details,4,1,MIB: SNMPv2-MIB  The textual identification of the contact person for this managed node together with information on how to contact this person.  If no contact information is known the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.4.0,
1539169205,801948281,,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539172805,965222997,,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539176405,633215058,,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539180005,124460306,,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539169205,801948281,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539172805,965222997,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539176405,633215058,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539180005,124460306,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device description,4,1,MIB: SNMPv2-MIB  A textual description of the entity.  This value should  include the full name and version identification of the system's hardware type software operating-system and  networking software.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.1.0,
1539169205,801948281,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539172805,965222997,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539176405,633215058,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539180005,124460306,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539169205,801948281,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539172805,965222997,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539176405,633215058,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539180005,124460306,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539169205,803872554,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539172805,965222997,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539176405,633215058,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539180005,124460306,,3600,Device location,4,1,MIB: SNMPv2-MIB   The physical location of this node (e.g. `telephone closet 3rd floor').  If the location is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.6.0,
1539169205,801948281,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539172805,965222997,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539176405,633215058,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539180005,124460306,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539169205,801948281,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539172805,965222997,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539176405,633215058,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539180005,124460306,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539169205,803872554,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539172805,965222997,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539176405,633215058,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539180005,124460306,,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539169205,801948281,vIOS-Core-I.companyXYZ.sk,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539172805,965222997,vIOS-Core-I.companyXYZ.sk,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539176405,633215058,vIOS-Core-I.companyXYZ.sk,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539180005,124460306,vIOS-Core-I.companyXYZ.sk,3600,Device name,4,1,MIB: SNMPv2-MIB  An administratively-assigned name for this managed node.By convention this is the node's fully-qualified domain name.  If the name is unknown the value is the zero-length string.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.5.0,
1539169205,801948281,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539172805,965222997,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539176405,633215058,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539180005,124460306,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539169205,801948281,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539172805,965222997,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539176405,633215058,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539180005,124460306,Cisco IOS Software- vios_l2 Software (vios_l2-ADVENTERPRISEK9-M)- Version 15.2(4.0.55)E- TEST ENGINEERING ESTG_WEEKLY BUILD- synced to  END_OF_FLO_ISP  Technical Support: http://www.cisco.com/techsupport  Copyright (c) 1986-2015 by Cisco Systems- Inc.  Co,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539169205,803872554,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539172805,965222997,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539176405,633215058,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539180005,124460306,,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539169205,801948281,vIOS-Core-I.companyXYZ.sk,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539172805,965222997,vIOS-Core-I.companyXYZ.sk,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539176405,633215058,vIOS-Core-I.companyXYZ.sk,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
1539180005,124460306,vIOS-Core-I.companyXYZ.sk,3600,System object ID,4,1,MIB: SNMPv2-MIB   The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example if vendor`Flintstones Inc.' was assigned the subtree1.3.6.1.4.1.4242 it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.,0,,{$SNMP_COMMUNITY},1.3.6.1.2.1.1.2.0,
